,Unnamed: 0,Date,User,Tweet_id,Tweet
150,150,2021-09-05 06:49:51+00:00,ciociana,1434408416160649216,@bearbops Ti può anche essere utile leggere questo...inquietante. Nella seconda colonna il penultimo effetto avverso la sindrome infiammatoria multisistemica è stata da qualche giorno inserita dall’EMA tra i possibili effetti avversi. Mi raccomando fremi per l’obbligo!!!
302,302,2021-09-05 07:59:52+00:00,InformazioneOg,1434426036985401345,"Pfizer e il vaccino: possibile sindrome infiammatoria, l’Ema indaga 
#Pfizer #vaccino #EMA  #salute
https://t.co/8FO9p0UTcP"
334,334,2021-09-05 08:17:27+00:00,piersar62,1434430462320074758,"I vaccini COVID-19 probabilmente forniranno protezione a lungo termine contro malattie gravi e la morte, gli effetti sul blocco dell'infezione sono incompleti e molto transitori. Quindi non vi è alcun vantaggio collettivo da compensare con il danno individuale ai bambini.
4/5"
337,337,2021-09-05 08:19:59+00:00,docdrugztore,1434431101548830722,"Chi vuole FATTI su bambini e #Covid19?
Quasi tutti i bambini finiranno per infettarsi se non saranno vaccinati.
Di quelli che si infetteranno:
- 1 su 14 (ma recenti studi dicono 1/7) prenderanno #LongCovid
- 1 su 100 sarà ricoverato
- 1 su 20.000 morirà.
#ProtectTheKids #SARSCoV2"
343,343,2021-09-05 08:22:34+00:00,piersar62,1434431748906135555,"Rischi e decessi di COVID-19 per i giovani sono minimi.
0,17  per 100.000 abitanti'. I rischi a lungo termine dei nuovi vaccini COVID-19 su una popolazione di milioni di bambini sono al momento sconosciuti""...

S. Gupta, epidemiologo
C. Heneghan, NHS
A. Giubilini, ricercatore
5/5"
352,352,2021-09-05 08:27:11+00:00,Antonio_Caramia,1434432913634910214,"🚨Questi i numeri relativi al #COVID19 ed ai #bambini se non si offre loro un #vaccino.

Tra i bambini che si contageranno:

🤒 1 su 14 svilupperà #LongCovidKids
🏥 1 su 100 sarà ospedalizzato
⚰️ 1 su 20.000 morirà"
378,378,2021-09-05 08:44:24+00:00,PapagniGrace,1434437244518117376,Questa cosa è raccapricciante e il nostro Governo senza avere idea delle conseguenze a medio o lungo termine continua con le sue restrizioni in che mondo viviamo? https://t.co/UoS17KiDc1
621,621,2021-09-05 11:02:53+00:00,HodajahL,1434472095212257284,"In particolare, la coorte era caratterizzata da un alto tasso di comorbilità che predispongono a COVID-19 grave, tra cui ipertensione (108; 71%), diabete (73; 48%), insufficienza cardiaca congestizia (41; 27%), rene cronico. e malattie polmonari (37; 24% ciascuna), demenza"
652,652,2021-09-05 11:19:14+00:00,tamistars,1434476211925884931,"Le statistiche sul #LongCovid nei bambini sono desolanti 
😢 https://t.co/W3uWfta58m"
891,891,2021-09-05 13:14:13+00:00,EmmaKump,1434505148559155205,"@Antonio_Caramia @docdrugztore @MauroV1968 Nulla si conosce su eventi avversi gravi a medio e lungo termine (nessuna notizia sulla genotossicità, nessuna notizia sulla carcinogenesi) del vaccino per la #COVID19 perché NON CI SONO STUDI !!"
993,993,2021-09-05 14:05:48+00:00,Gianniallu,1434518127681884165,"@bisagnino Rischi complicanze covid-19 per i ragazzi minorenni = 0 (zero) 

Rischi complicanze vax a lungo termine = non si conoscono gli effetti a medio ed a lungo termine del vax"
1862,1862,2021-09-05 19:52:21+00:00,igor57092488,1434605338859393025,"@maurizio1999 @MMmarco0 Tra i bambini infetti:
🤒 1 su 14 soffriranno sintomi a lungo termine 
🏥 1 su 100 saranno ospedalizzati 
⚰️ 1 su 20,000 moriranno"
2032,2032,2021-09-05 21:25:52+00:00,elisaperego78,1434628876739694603,"@EmmaKump @MartaEsperti @docdrugztore @Antonio_Caramia @MauroV1968 @LongCovidItalia @apresj20 @LongCovidSOS @LongCovidKids @LongCOVIDPhysio @LongCovidNL @LongCovidCanada @long_covid @LongCovidCH I dati su #LongCovidKids sono ormai numerosissimi.
Molti dei primi pazienti di Wuhan non erano anziani. Molti sono ancora malati.
Bambini e giovani con malattia COVID-19 (anche con polmonite) erano noti gia' a gennaio 2020

@TheLancet 24 gennaio 2020 per esempio"
2121,2121,2021-09-05 22:39:32+00:00,lucalaurenti12,1434647414418415616,"@borghi_claudio @francesco_decio @liberalmatteo Onorevole stavo leggendo il ""Risk Management Plan for COVID-19 mRNA vaccine"" dell'EMA (circa 80 pagine).
Si dice chiaramente che è experimental, che non si conoscono gli effetti a lungo termine e sulle donne incinta ecc ecc https://t.co/uWoPvn4fte"
2539,2539,2021-08-29 08:25:47+00:00,Euro_comunica,1431895847004999682,"Vaccini per i bambini, a Londra tante le manifestazioni
https://t.co/l1ypEvIaS2
#COVID19 #pandemia #London #LongCovidKids #KidsB4COVID #COVID #vaccinoobbligatorio #VacciniCovid #Uk #UnitedKingdom #manifestazione #pandemic #coronavirus #Eurocomunicazione #scuola #Salute"
2578,2578,2021-08-29 08:38:06+00:00,E9P34zsUBDe3KJb,1431898943827361795,@Mela09061860 @GiovanniToti L'impaziente introduzione del vaccino contro la coronavirus porterà effetti negativi a lungo termine!  Causerà danni secondari a causa dell'effetto ADE (potenziamento dipendente dall'anticorpo ) e persino renderà il vaccino più dannoso del virus stesso
2580,2580,2021-08-29 08:39:13+00:00,E9P34zsUBDe3KJb,1431899226032775168,@Silvy6701 @lilith975 L'impaziente introduzione del vaccino contro la coronavirus porterà effetti negativi a lungo termine!  Causerà danni secondari a causa dell'effetto ADE (potenziamento dipendente dall'anticorpo ) e persino renderà il vaccino più dannoso del virus stesso https://t.co/i1jaHBCsCO
2583,2583,2021-08-29 08:40:09+00:00,E9P34zsUBDe3KJb,1431899462402707456,@DiPint3 @lilith975 L'impaziente introduzione del vaccino contro la coronavirus porterà effetti negativi a lungo termine!  Causerà danni secondari a causa dell'effetto ADE (potenziamento dipendente dall'anticorpo ) e persino renderà il vaccino più dannoso del virus stesso https://t.co/9I8bZ4XlmC
2585,2585,2021-08-29 08:41:02+00:00,E9P34zsUBDe3KJb,1431899682427506692,@repubblica L'impaziente introduzione del vaccino contro la coronavirus porterà effetti negativi a lungo termine!  Causerà danni secondari a causa dell'effetto ADE (potenziamento dipendente dall'anticorpo ) e persino renderà il vaccino più dannoso del virus stesso https://t.co/0XfvRhtqpf
2596,2596,2021-08-29 08:46:52+00:00,E9P34zsUBDe3KJb,1431901152342335491,@Signorasinasce @lilith975 L'impaziente introduzione del vaccino contro la coronavirus porterà effetti negativi a lungo termine!  Causerà danni secondari a causa dell'effetto ADE (potenziamento dipendente dall'anticorpo ) e persino renderà il vaccino più dannoso del virus stesso. https://t.co/FF8NmDoZ7O
2597,2597,2021-08-29 08:47:51+00:00,E9P34zsUBDe3KJb,1431901396408967170,@LaVeritaWeb L'impaziente introduzione del vaccino contro la coronavirus porterà effetti negativi a lungo termine!  Causerà danni secondari a causa dell'effetto ADE (potenziamento dipendente dall'anticorpo ) e persino renderà il vaccino più dannoso del virus stesso. https://t.co/98NwhTAINU
2598,2598,2021-08-29 08:49:38+00:00,E9P34zsUBDe3KJb,1431901846281625602,@HuffPostItalia L'impaziente introduzione del vaccino contro la coronavirus porterà effetti negativi a lungo termine!  Causerà danni secondari a causa dell'effetto ADE (potenziamento dipendente dall'anticorpo ) e persino renderà il vaccino più dannoso del virus stesso. https://t.co/kKztEHGUs2
2603,2603,2021-08-29 08:50:22+00:00,E9P34zsUBDe3KJb,1431902030109548549,@rodcostakiwi @lilith975 L'impaziente introduzione del vaccino contro la coronavirus porterà effetti negativi a lungo termine!  Causerà danni secondari a causa dell'effetto ADE (potenziamento dipendente dall'anticorpo ) e persino renderà il vaccino più dannoso del virus stesso. https://t.co/Zn2W7Tl6bT
2699,2699,2021-08-29 09:25:22+00:00,SimonaG70840480,1431910840568107012,"È vero, lo avevano detto da subito...  #COVID19 è da prendere sul serio e anche la possibile #LongCovid che può impedirti di vivere la tua vita come facevi prima..."
2785,2785,2021-08-29 10:09:26+00:00,AIRAODV,1431921929548664833,"FIBROMIALGIA E COLLEGAMENTO CON LA SINDROME POST COVID-19.
La sindrome che si manifesta dopo la malattia COVID-19 acuta (PACS) è un'entità emergente caratterizzata da una vasta gamma di manifestazioni, compresi disturbi..https://t.co/fJsOGTewte https://t.co/adjhevyeLU"
2944,2944,2021-08-29 11:40:46+00:00,Salvato00506710,1431944912795283459,"@Antonino572 @BarbaraRaval La Ivermectina, con Lactoferrina e l'idrossiclorichina con Vitamina C è D, Sono Soluzioni Anti Covid19, Senza INOCULARSI il presunto Spacciato Vaccino Che le stesse Case Farmaceutiche dichiarano di non conoscere gli effetti ha lungo termine e se non basta dopo due Dosi la Terza"
3111,3111,2021-08-29 13:27:52+00:00,SimonaG70840480,1431971867401891843,"Avere #covid19 asintomatico non vuol dire ""averla scampata"", purtroppo.
#LongCovid"
3181,3181,2021-08-29 13:53:25+00:00,laura_levanti,1431978298335272961,"@Fiamma_74 @Manuela9679 @fabioschiano @GerardoDAmico @WRicciardi @FNOMCeO Oh, perché immagino che invece gli effetti a lungo termine di un'infezione pregressa da covid19 siano stati ampiamente documentati, giusto?
Chissà, magari è come il virus della varicella, che resta latente nel corpo per tutta la vita e può causare altre malattie. Vallo a sapere."
3463,3463,2021-08-29 15:24:44+00:00,LukeRays,1432001276502499332,@Marcellobello35 @stanzaselvaggia @nelloscavo Conosce persone che non abbiano MAI contratto l'influenza nella vita? La probabilità di contrarre l'influenza almeno una volta nella vita è prossima al 100%. Perché la probabilità di contrarre il COVID-19 nel medio/lungo termine dovrebbe essere diversa?
3819,3819,2021-08-29 18:08:18+00:00,FranceskoNew,1432042441167851528,"@elisaperego78 @robersperanza @ProfPBianchi @FimpP @TigressEllie @Antonio_Caramia @RobiVil @andcapocci @MilaSpicola @LongCovidKids @LongCovidItalia @LongCovidSOS @SIPediatri Infatti questo è un appello alla comunità scientifica libera di questo Paese! Serve un'operazione verità su:
🔸contagio via #aerosol
🔸#COVID19 e bambini
🔸#LongCovid

cc @CNRsocial_ @Redazione_ROARS @covidstat_infn @bad_scientists @gianlucac1 @marcocattaneo @Rb_Bat @CaBarbati"
3938,3938,2021-08-29 19:25:19+00:00,marcoconterio,1432061822803324928,"#COVID19 Giorno di positività numero 16.

Le giornate sono infinite, Niccolò a tre anni da compiere mi ricorda ogni minuto che non c'è un attimo da perdere nella vita e anche poco per rilassarsi. La salute ora c'è, è la stanchezza che si fa sentire. Ma la flame rouge è vicina."
4132,4132,2021-08-29 21:46:43+00:00,MarioCarbonari,1432097406070448132,"@bisagnino4 Attenzione, uno studio della Università di Paperopoli ha finalmente dimostrato gli effetti collaterali a lungo termine dei vaccini anti-Covid19: si diventa tutti Juventini!!!"
4143,4143,2021-08-29 21:55:32+00:00,sandropascucci_,1432099626895687686,"Le morti di influenza in anziani con 3 patologie le hanno chiamate morti-COVID19. Le morti da vaccino le hanno chiamate morti-da-malore, da calore, da urto con civetta, morte da sindrome del pattino lontano dalla riva. Le morti da tentativo di vaccinazione forzata? AUTODIFESA."
4654,4654,2021-08-01 08:52:46+00:00,maelmale,1421755775840661510,"LA SINDROME MULTISISTEMICA È ASPECIFICA 
QUINDI DIFFICILE DA DEFINIRE, 
CI FARANNO RIENTRARE QUALSIASI COSA
SCATENANDO IL PANICO TRA I GENITORI 
PER CREARE LA SCUSA PER IMPORRE LA VACCINAZIONE COVID19 
ANCHE ALLA FASCIA DI ETÀ SOTTO GLI 11 ANNI 
E  ANCHE SENZA IL VOSTRO CONSENSO"
4964,4964,2021-08-01 11:11:55+00:00,marc_bottle,1421790794118275083,"Il sogno delle multinazionali farmaceutiche è quello di avere un'umanità affetta da malattie croniche, allo scopo di curarla con farmaci che cronicizzino gli stati patologici, piuttosto che attivare processi di guarigione. #BigPharma #COVID19"
5034,5034,2021-08-01 11:39:54+00:00,Pagliacci8,1421797837784993792,quando si parla di effetti a lungo termine del #vaccino ci si dimentica chi ha DAVVERO degli effetti a lungo termine ancora sconosciuti: il #COVID19
5717,5717,2021-08-01 16:28:28+00:00,dinogargano,1421870457867878413,"E poi ci sono quelli che ..."" Io non mi vaccino perché chissà che effetti a lungo termine ..."" #ebeti"
6841,6841,2021-07-25 07:19:59+00:00,PaoloPatierno,1419195710856175616,"@RobertoRenga La patente è obbligatoria per chi vuol portare un automezzo. Lo Stato (per Legge) imponga l'obbligo vaccinale (anti covid19) assumendosi quindi i rischi a breve, medio e lungo termine. Perchè non lo fa? 😎"
7290,7290,2021-07-25 10:02:20+00:00,AleCamarca,1419236567982477313,"@maurobiani Mauro perdonami ma devi pensare anche a Tommaso, 14 anni admatico cronico che per i medici rischia la pelle se si vaccina. Al cinema ci andranno un giorno insieme lo spero von tutto il cuore, ma quando troveranno le cure per il Covid-19 ( molte già ci sono )."
7317,7317,2021-07-25 10:10:02+00:00,GiorgioMerlani,1419238504610111488,"@AleHumanMovDoc @sebrushworth @SwissScience_TF @alain_berset @normangobbi La relazione COVID-19 e metabolismo non la sbeffeggia nessuno. 
Anzi ! ci sono articoli interessanti sulla #Sindemia ( pandemia da virus combinata ad una epidemia di obesità, ipertensione e sindrome metabolica!)"
8036,8036,2021-07-25 14:01:57+00:00,PaolaAuditore,1419296870669639685,@SalvoInUK @Adnkronos Si è sperimentale la FDA non l’ha mai approvato - è solo per Emergency use - puoi vedere da te sul sito FDA https://t.co/D5pCULoq0I per approvare i vaccini ci vogliono anni di test - infatti i danni a lungo termine non si conoscono …
8370,8370,2021-07-25 15:32:51+00:00,CasilinaNews,1419319746433069059,COVID-19 Vaccino Janssen: Controindicazione negli individui con pregressa sindrome da perdita capillare e aggiornamento relativo alla sindrome trombotica trombocitopenica https://t.co/8LG9xkmLMR https://t.co/LzpGh3yNji
