Tweet_id,Tweet,sent_label,class_label
"1,39134418176387E+018","#Covid19
Villorba
Anziana 91 anni muore nel parcheggio del centro vaccinale 1h dopo la 2ª dose del vaccino #Pfizer
L’anziana comunque soffriva di patologie cardiovascolari e renali.
Decesso CON vaccino
Disposta autopsia. https://t.co/fifpwW2OwA",0,0
"1,3913692381962E+018","Lo capite vero che il problema non è il covid19?
🤦‍♂️🤦‍♂️
#sindromedistoccolma",0,0
"1,39141225080469E+018","#Newsicilia Il #longCovid riguarda i soggetti che possono continuare ad avere i sintomi del #Covid nonostante siano già guariti
https://t.co/MaMCvaDUQs",0,1
"1,39142375468585E+018","@MMmarco0 Cazzo,un tuo tweet non votato all'allarmismo,al pessimismo cronico e al sottolineare sempre e solo i dati negativi?
Clamoroso 😁🤣
#COVID19",0,0
"1,39147439471159E+018","@G23Mld Mah... è la solita minimizzazione: ""è il virus dei vecchi""!
A me vengono sempre in mente #le3letterine quanto sento discorsi così 🙄
Di #LongCovid ne parla il #CTS?
E comunque 👇

https://t.co/VouXANY2y1",0,1
"1,39150509820813E+018","#Ashwagandha  produce ottimi risultati su stress cronico,infiammazioni,stati di https://t.co/9TE4U6F6la modula anche l’espressione di IL-1 ed IL-6(correlate con la tempesta citochinica del Covid)Informatevi e,se vi ci entra l’occhio,fateci un pensierino
Il🌎ha tutto ciò che serve",0,0
"1,39152716121186E+018",@Regsprecher L'UE deve agire con decisione per aumentare la produzione e l'accesso ai vaccini e trattamenti #COVID19 a lungo termine! Si prega di sostenere la rinuncia TRIPS sulla proprietà intellettuale COVID-19 @vonderleyen #PeoplesVaccines #Vaccine4All https://t.co/PujQkunyZB,0,0
"1,39635772657437E+018",Svizzera: « In ambito scolastico un bambino su cinque è stato colpito dal #SARSCoV2. È quello che mostra uno studio su larga scala sulla popolazione scolastica. » #COVID19 #LongCovidKids,0,1
"1,3963620985785E+018",@Aifa_ufficiale ci sono controindicazioni ai vaccini anti #covid19 per chi ha la sindrome di Raynaud ? @pfizeritalia @AstraZeneca @moderna_tx @JNJNews,0,0
"1,39636686239772E+018","Al rischio del contagio da #COVID19 si aggiunge il rischio del #LongCovid. Su @MoreSafe_1 un interessante articolo sul tema di @GiovLuciano dal punto di vista del #lavoro con dati e studi @inail_gov.
https://t.co/bacmn91Nkb",1,1
"1,39640181807953E+018","@luigidegennar @MartaEsperti @MauroV1968 @chegiornoRadio1 @elisaperego78 @surf4children Ma cosa c'entra uno studio in cui si ipotizzano condizioni PRECEDENTI e comborbidità con lo sviluppo di un #COVID19 severo, con il #LongCovid patologia immunomediata con danni multi-organo che si presenta 7 su 10 su individui SENZA PATOLOGIE PRECEDENTI. No comment.",-1,1
"1,39640218066866E+018","@luigidegennar @MartaEsperti @MauroV1968 @chegiornoRadio1 @elisaperego78 @surf4children Ripeto: cosa c'entra uno studio in cui si ipotizzano condizioni PRECEDENTI e comborbidità con lo sviluppo di un #COVID19 severo, con il #LongCovid patologia immunomediata con danni multi-organo che si presenta 7 su 10 su individui SENZA PATOLOGIE PRECEDENTI. No comment.",-1,1
"1,39641647793118E+018","Prevenzione Covid19
Il “cibo spazzatura” rende il sistema immunitario più aggressivo a lungo termine. Cibo spazzatura = infiammazione!
LEGGI: https://t.co/tGj42LH2mD https://t.co/ULLllqqFFx",0,0
"1,39642853788897E+018","Marzo 2020, l’oncologo Cavanna spiegava: “Noi abbiamo osservato che la maggior parte dei pazienti che arrivano in ospedale avevano una storia di 10 - 15 - 20 giorni di febbre a casa, di malessere, di stanchezza, fino poi arrivare a disturbi respiratori”.",0,1
"1,39643421672074E+018","🚨Secondo uno studio da poco pubblicato, 
👉I giovani adulti &lt;50 che hanno avuto il #COVID19 (anche senza condizioni pre-esistenti ed anche senza essere ospedalizzati), hanno un rischio maggiore di sequele cliniche.

👉Prevenire è SEMPRE meglio che curare! 

#LongCovid https://t.co/NxPL57nCeZ",0,1
"1,39644808498972E+018",Mi sa che l'educazione civica serve a questa pletora di adulti saccenti che hanno la forza di rompere le palle ancora ai giovani dopo tutto. Ma nascondetevi che non avete niente da insegnare perché non avete capito un cazzo. Stanchezza.,-1,0
"1,39646045429011E+018","Studio internazionale su #LongCovid e disturbi del sonno
@luigidegennar

#LongCovidItalia #LongCovidKids #longhaulers
#koronaoire #covidpersistente #MitCoronaLeben #apresJ20 

#covid #COVID19 #COVID19italia #SARSCoV2 #Covid_19",0,1
"1,3964703792171E+018","Acli Padova: Sportello BlaBlaBla, spazio di ascolto e sostegno per giovani e famiglie post-Covid https://t.co/fsIPAPOhZi &gt;&gt; @diocesipadova @CaritasPadova @comunepadova @acpadova @emimafre #COVID19",0,1
"1,39650056754391E+018",#COVID19: la sindrome dell’intestino irritabile (#IBS) ha una connessione con fattori psicosociali https://t.co/N8gD583Xah via @debugliesnews #Health #healthcare #healthylifestyle #HealthyLife #COVIDー19 #coronavirus #Coronavid19 #COVID19Pandemic #CoronavirusOutbreak,0,0
